sleep_hours,phone_usage_hours,study_hours_per_day,productivity_score
7.63,0.86,3.03,36.81
9.13,1.27,8.29,90.68
6.99,2.01,4.41,58.75
4.34,6.77,2.17,31.49
9.84,2.93,4.88,56.28
6.74,10.27,5.85,45.0
5.21,0.81,7.75,70.98
8.45,8.08,3.82,51.66
6.25,1.53,1.89,48.01
3.09,10.74,1.4,24.23
5.24,0.97,1.57,43.81
6.2,2.14,9.53,74.94
5.61,3.69,9.54,73.37
6.86,1.66,9.7,73.8
4.28,10.98,3.37,35.36
7.01,2.02,2.32,43.27
9.91,1.45,9.82,76.05
8.28,1.19,9.89,84.36
7.79,9.77,1.24,25.09
4.4,7.97,7.65,56.24
7.07,9.2,3.24,26.62
8.74,8.61,9.14,54.76
4.68,11.63,1.35,15.0
3.61,9.34,8.94,61.75
7.63,4.9,0.52,28.07
7.72,3.83,5.46,52.64
8.63,3.86,3.69,56.12
7.41,4.1,4.56,66.19
8.94,2.64,4.62,46.53
4.86,5.02,6.71,49.65
3.25,1.77,0.72,11.31
8.13,3.92,7.07,62.77
5.7,2.51,0.71,39.05
4.47,11.08,2.26,34.43
3.36,5.8,6.26,36.48
8.29,9.96,1.32,20.31
8.78,7.27,9.91,70.01
5.72,7.38,7.95,64.19
9.2,0.54,7.2,62.5
5.91,0.65,3.04,51.07
9.66,3.71,0.96,50.14
9.88,1.18,9.8,78.7
8.72,3.69,1.9,46.19
4.79,7.61,8.39,51.52
5.56,8.66,2.38,30.76
6.73,7.54,4.05,32.45
5.3,6.88,7.09,43.26
8.73,1.43,9.48,70.67
9.49,1.98,0.69,42.05
9.9,0.97,2.98,50.04
5.35,9.84,7.77,56.76
4.89,4.22,2.15,45.31
4.13,5.13,1.56,22.32
3.33,7.68,0.94,17.19
4.24,11.64,5.27,32.21
4.99,7.57,7.79,57.35
5.74,1.85,9.64,69.33
3.77,10.88,3.04,17.1
8.74,3.14,1.65,32.6
7.33,9.59,4.32,49.51
6.94,9.1,1.03,47.68
6.82,5.27,3.65,46.07
5.03,6.51,6.61,55.92
9.56,3.13,2.1,52.03
4.62,8.58,6.5,45.97
7.68,11.76,9.73,60.1
4.77,5.41,8.71,58.39
9.93,11.98,3.89,41.9
9.38,3.4,4.5,61.92
4.85,1.89,4.48,59.38
9.91,11.98,8.67,69.78
7.38,4.82,9.94,67.3
8.1,10.38,8.35,66.15
4.98,0.84,5.8,57.03
4.51,7.72,1.42,17.51
9.01,0.54,9.57,72.47
4.93,6.3,8.67,57.15
9.42,8.97,8.49,80.61
5.57,7.65,4.22,38.02
3.06,7.72,4.75,28.25
7.15,4.26,1.64,43.65
5.48,7.79,9.41,66.47
9.83,10.33,9.46,55.56
5.71,6.21,2.92,44.97
5.2,6.73,7.11,58.42
6.96,10.14,2.43,28.8
8.11,1.9,4.23,64.79
9.77,7.41,3.37,51.9
3.49,5.96,4.2,25.38
5.94,5.3,3.44,32.08
7.65,5.19,3.78,52.24
3.03,7.78,8.02,51.19
6.42,10.82,3.35,23.13
8.65,7.98,8.24,77.1
3.36,3.54,5.9,56.71
5.38,2.08,7.91,69.47
5.81,11.75,9.23,71.21
8.01,4.0,1.82,52.15
5.07,5.86,3.77,37.34
4.72,0.7,1.03,27.18
3.81,9.83,4.37,29.57
9.97,9.62,2.76,27.61
6.3,8.49,5.93,54.52
3.34,4.59,7.94,50.56
3.54,4.8,5.12,30.54
3.9,6.2,3.67,45.29
4.48,5.12,1.95,37.11
8.18,2.44,0.75,43.31
6.91,3.16,6.94,60.25
8.44,4.3,0.79,41.75
3.14,0.73,9.25,71.54
4.86,4.42,6.15,42.86
5.84,9.94,3.86,44.04
6.0,5.9,0.9,20.04
3.37,2.63,4.43,42.27
6.58,8.49,8.74,70.37
5.01,0.75,9.71,79.41
4.34,2.28,1.31,36.11
7.7,7.19,7.88,51.47
3.59,8.23,2.95,25.9
9.07,3.89,4.1,48.11
9.3,3.7,5.7,56.48
5.28,0.74,9.95,71.32
9.91,3.78,2.48,48.39
5.81,11.53,1.74,14.79
9.74,5.07,6.15,55.88
9.91,4.27,8.6,75.47
8.79,7.71,6.66,55.29
3.87,11.87,3.8,17.83
7.09,5.53,9.78,67.18
8.12,1.59,9.95,86.73
3.54,8.75,7.82,45.81
9.26,10.82,8.12,74.45
8.96,8.32,7.73,66.66
9.54,6.22,2.95,40.09
6.6,3.33,1.93,23.34
5.27,5.63,5.77,46.45
6.54,5.36,9.56,69.27
8.11,11.57,8.84,61.86
5.91,0.92,1.52,50.06
5.46,4.69,1.04,28.25
3.54,4.08,8.8,59.09
6.13,11.79,6.32,47.7
5.75,0.57,3.39,64.78
7.64,3.86,5.84,58.47
6.07,11.7,2.61,39.58
3.03,2.33,9.5,62.89
6.39,9.58,8.36,60.97
8.42,6.98,9.64,55.72
9.62,10.92,2.28,49.37
4.35,10.54,8.51,38.6
5.96,7.13,5.82,51.25
8.93,6.87,3.59,42.43
3.3,2.24,5.06,49.89
5.45,1.19,9.47,72.94
7.14,8.92,7.07,68.47
5.4,7.54,3.92,37.17
6.43,9.65,10.0,71.04
9.57,0.71,3.78,65.03
3.17,11.24,8.23,45.45
3.55,1.34,7.95,55.54
4.38,10.9,7.37,41.1
5.69,2.7,6.86,59.11
6.3,3.49,1.53,43.63
3.26,10.53,9.95,52.98
9.18,5.69,2.03,55.97
8.31,8.49,6.16,63.51
4.88,10.85,2.87,21.58
4.8,3.85,2.1,40.58
3.18,2.06,5.81,58.53
5.79,6.72,8.45,48.01
4.78,4.96,4.08,57.79
7.33,9.69,1.23,35.76
6.84,0.56,6.43,66.58
9.7,7.17,7.78,64.8
8.57,6.43,3.31,51.16
3.57,10.27,7.06,41.67
7.93,7.13,1.22,29.18
3.75,11.95,3.93,30.02
5.26,0.81,5.0,71.98
6.89,6.29,7.93,54.39
6.47,11.72,3.71,23.63
7.85,11.37,4.81,33.5
8.67,3.01,6.47,66.07
8.81,10.01,6.43,49.36
3.41,9.76,5.42,30.4
7.49,11.57,3.62,27.58
9.73,6.36,6.86,61.89
8.29,6.59,8.45,69.03
6.64,9.54,1.96,35.36
9.99,11.99,3.73,35.74
3.31,4.06,6.85,52.63
3.62,8.36,7.68,44.47
8.38,8.22,7.92,80.6
6.85,10.36,6.71,49.53
3.87,7.97,5.04,39.7
5.63,5.77,6.64,51.13
3.45,4.07,1.78,36.59
6.68,11.65,2.47,17.12
3.73,4.36,9.31,74.63
3.05,3.43,9.26,62.65
5.26,9.62,7.38,53.03
4.64,6.22,3.61,49.35
5.53,2.61,6.66,49.91
5.45,4.63,7.03,73.9
7.41,2.84,5.39,63.37
7.76,2.9,7.61,58.4
3.89,1.37,0.78,34.66
6.42,7.92,2.93,31.12
9.22,4.77,8.05,76.58
4.04,1.18,9.42,85.81
9.77,7.99,8.82,87.2
3.14,3.91,7.31,48.62
3.7,2.36,2.07,24.31
4.24,11.54,4.0,28.61
6.29,1.36,0.98,38.37
5.09,4.95,6.58,51.59
5.93,7.58,4.77,50.57
9.59,11.92,5.94,51.57
5.39,1.45,9.8,62.85
8.94,11.21,4.32,30.92
3.51,10.63,3.41,29.13
8.68,9.46,1.93,46.41
9.31,1.68,1.86,48.26
4.99,3.84,5.43,47.02
6.83,3.62,7.62,53.86
4.31,6.64,5.86,54.88
3.64,1.88,8.8,78.46
8.39,9.89,3.5,38.62
7.41,8.34,6.15,44.46
8.27,10.4,6.78,50.79
6.08,3.06,3.17,48.16
4.75,7.64,4.26,40.37
5.99,10.29,6.11,36.48
3.45,1.08,0.7,23.36
4.98,6.83,8.92,50.41
5.08,8.86,1.56,26.35
8.0,4.77,0.95,41.93
3.37,4.57,2.54,47.67
4.72,0.87,5.27,53.63
4.94,6.13,3.62,35.74
6.86,7.36,4.68,50.24
4.71,9.01,1.3,36.45
3.93,1.49,2.71,48.8
4.81,5.29,1.43,24.58
5.95,3.46,2.68,34.04
6.68,2.88,7.18,59.23
3.26,3.33,5.97,42.37
5.17,4.65,3.67,38.24
8.35,8.93,2.98,35.12
7.18,5.51,9.98,56.38
6.19,1.23,7.79,62.79
6.17,4.5,8.31,62.95
5.58,1.76,0.75,31.21
5.39,2.94,1.07,48.04
5.8,1.99,7.27,71.49
9.08,11.68,2.32,44.85
6.28,10.62,4.54,35.01
7.68,7.69,2.25,49.7
8.65,3.38,2.18,52.79
6.02,2.5,1.54,34.01
8.87,10.18,6.15,61.03
9.95,1.34,7.52,83.85
6.53,8.47,1.04,32.75
5.82,3.89,3.12,43.02
8.64,6.13,6.75,49.54
7.54,8.88,4.23,34.74
7.29,0.92,7.19,75.11
9.2,2.52,7.71,61.7
7.55,7.94,0.81,23.14
7.49,11.08,4.12,30.16
4.45,3.47,7.43,46.03
7.82,2.22,4.09,51.49
9.39,11.14,0.56,37.83
7.03,10.45,3.69,35.42
9.32,10.96,8.79,78.9
5.38,1.93,9.54,61.3
3.3,11.12,5.82,18.5
6.12,7.19,3.41,40.04
3.03,8.17,4.93,40.54
4.08,5.72,2.74,23.28
4.33,4.59,2.1,44.01
6.74,1.8,5.19,61.66
9.65,3.07,7.5,81.61
3.14,7.26,2.61,20.13
4.66,4.14,9.14,59.61
9.79,1.88,2.1,54.91
9.17,8.66,5.8,42.06
8.84,6.58,7.88,63.77
3.64,0.97,2.53,39.33
7.51,8.23,3.32,27.04
4.42,10.41,0.99,27.63
7.56,9.42,9.47,47.48
5.99,11.13,5.13,39.44
7.45,4.39,1.11,42.5
6.0,1.51,8.39,66.86
9.35,8.71,5.91,65.12
3.18,10.87,1.03,22.77
4.34,4.17,4.78,46.46
8.83,3.55,4.63,55.77
8.16,8.72,1.89,31.81
4.3,8.87,4.49,40.19
3.85,10.04,3.19,29.1
5.18,9.08,7.15,56.94
6.37,5.1,0.55,29.56
3.33,5.36,1.51,24.94
8.92,9.75,9.23,70.75
6.65,3.57,4.62,50.97
9.44,1.75,2.17,46.71
5.28,3.01,8.04,49.66
3.34,6.31,8.59,67.69
9.1,7.06,2.51,53.51
4.05,1.31,7.28,46.6
5.35,3.99,6.34,41.78
6.25,9.12,7.58,51.99
6.44,10.42,7.99,49.93
3.16,1.99,6.78,60.35
6.69,6.47,9.58,65.2
3.54,2.22,8.71,65.38
5.29,8.8,2.68,15.16
9.83,2.31,9.18,82.48
4.96,1.61,3.92,49.58
8.69,5.57,7.4,63.07
6.57,1.59,8.56,80.77
4.42,9.88,4.65,42.58
8.05,10.01,0.99,20.53
6.89,6.38,9.52,75.85
6.73,7.08,1.19,37.06
3.21,2.02,3.81,41.14
5.34,3.68,6.17,47.12
8.14,1.89,1.62,56.82
8.57,2.97,8.46,85.32
8.7,5.04,2.43,53.08
3.26,8.34,9.87,58.46
4.14,8.87,9.21,73.4
9.9,5.61,6.24,57.35
4.09,3.87,6.77,46.31
4.49,9.81,5.57,51.99
8.62,5.53,4.22,52.04
5.75,6.95,3.84,38.63
3.81,3.57,8.97,75.09
3.88,1.26,5.98,46.55
3.59,2.39,8.32,63.26
4.26,8.7,5.38,26.8
6.48,3.68,3.42,40.49
3.11,1.95,1.37,35.22
3.82,7.88,3.58,37.67
9.35,6.0,8.86,64.36
9.14,0.77,7.26,63.39
8.83,11.89,7.97,53.01
7.94,4.9,7.85,55.72
7.63,8.03,1.64,39.04
4.93,11.81,2.01,29.74
5.34,7.8,3.51,35.83
4.65,4.08,3.36,35.87
9.86,6.12,1.13,33.78
7.44,1.68,1.96,33.8
9.76,2.45,8.63,76.8
4.9,4.08,6.1,40.75
7.35,1.47,3.75,59.45
8.31,1.81,5.5,47.11
3.66,10.15,2.98,19.67
7.67,3.37,6.05,63.47
4.18,4.21,1.21,26.35
5.3,2.5,9.08,62.65
8.01,5.15,2.78,51.33
6.08,8.52,8.28,54.23
9.45,11.37,6.77,50.03
4.69,6.7,5.47,49.14
4.08,3.95,9.33,53.95
5.36,6.36,1.99,31.69
8.96,1.97,1.63,51.86
8.93,8.29,3.56,45.11
5.59,4.28,8.39,71.98
8.67,11.37,0.83,25.55
3.54,8.07,2.77,39.57
3.05,5.98,4.53,47.13
9.05,3.15,7.27,66.11
9.12,1.56,3.34,50.87
4.0,2.66,4.76,35.11
5.08,7.06,3.7,33.26
8.95,6.48,1.37,28.9
3.59,0.61,7.52,58.94
9.04,9.06,4.88,39.57
7.02,0.96,8.22,68.63
7.6,1.4,7.1,77.34
7.16,8.69,1.05,10.63
7.08,7.93,5.25,44.14
4.3,2.98,9.91,76.68
4.65,8.12,3.42,26.23
7.06,0.72,5.18,66.98
5.81,3.7,6.69,51.64
6.79,9.23,2.42,31.16
4.77,5.96,7.17,58.67
6.25,10.34,6.77,44.64
4.0,2.15,4.06,44.43
3.27,10.42,3.2,21.36
9.66,6.09,9.23,70.97
8.06,1.67,1.71,57.81
6.49,1.04,4.6,62.78
6.86,0.51,7.79,66.43
6.58,7.83,1.91,27.93
9.29,3.05,9.36,85.51
8.42,2.18,5.5,56.65
5.28,7.42,5.3,40.58
4.53,5.21,4.53,42.25
3.47,5.67,8.74,49.7
4.03,2.04,9.51,67.89
6.43,3.41,4.11,60.69
4.42,1.64,5.65,57.14
5.19,4.35,3.5,45.03
3.93,4.05,4.0,35.47
9.46,9.44,0.77,32.94
3.24,11.85,7.97,48.15
5.46,11.99,9.71,58.93
4.81,4.94,7.81,62.44
3.06,9.62,5.42,28.34
9.5,3.71,8.36,74.99
5.2,2.14,8.65,75.43
6.52,7.86,5.67,42.15
7.08,5.98,9.4,85.13
7.27,7.33,0.79,25.75
6.22,4.71,0.6,40.02
7.16,3.97,1.27,49.04
8.26,11.17,1.05,40.99
9.66,10.66,4.53,44.03
7.6,1.92,9.43,82.06
6.24,8.0,6.91,64.55
6.11,4.62,6.76,60.23
7.97,7.03,4.16,46.42
7.39,2.88,5.57,64.29
5.94,8.82,3.39,44.77
5.35,4.06,5.42,58.91
9.95,8.42,7.59,70.05
8.37,2.15,5.81,54.84
4.45,2.04,4.48,47.31
5.05,4.5,8.53,67.11
9.26,11.97,3.23,32.23
7.63,10.4,5.07,51.75
5.18,7.64,9.79,65.01
5.55,4.05,9.69,56.52
5.65,2.39,0.56,18.98
4.3,9.05,5.56,31.92
6.58,2.85,3.7,63.4
8.36,5.23,3.27,48.35
6.95,6.59,6.16,61.86
7.59,1.56,4.74,54.49
7.17,9.46,7.46,38.32
3.41,11.32,0.76,19.19
4.32,2.19,9.31,70.66
5.45,10.48,5.89,31.31
9.22,6.07,7.0,70.11
5.44,2.06,6.24,50.02
5.29,7.49,9.9,60.26
3.56,11.2,9.87,51.4
9.8,11.51,6.29,72.0
8.45,8.78,7.0,58.63
8.36,6.18,6.38,52.88
5.69,2.65,3.45,49.84
3.55,7.4,2.33,31.77
4.84,7.55,4.33,43.49
8.97,1.78,6.99,57.12
4.26,3.42,1.03,22.26
9.26,4.03,5.39,65.61
6.75,10.39,4.38,30.49
8.0,7.21,5.51,49.63
6.18,3.31,8.67,64.27
9.53,4.07,0.95,40.03
4.68,2.18,7.75,52.22
7.01,1.01,6.84,71.66
3.48,6.36,2.44,28.08
6.36,0.87,7.47,60.12
9.81,11.91,5.22,54.13
3.62,9.38,5.07,48.69
6.55,9.45,5.09,54.0
7.22,9.18,9.52,65.76
9.52,7.87,9.47,80.16
5.08,1.3,9.18,77.82
6.52,5.74,8.92,64.16
9.91,3.71,0.86,47.94
8.38,3.93,4.31,66.45
8.67,4.76,9.0,57.2
8.46,4.19,7.67,64.17
6.61,8.12,4.84,51.25
6.04,0.59,7.85,70.4
4.78,4.71,2.48,39.99
6.26,11.36,6.2,46.7
3.14,3.47,5.56,62.59
3.68,7.65,5.95,56.42
5.01,6.94,7.36,45.36
5.34,6.13,9.52,72.61
7.95,1.91,3.01,40.77
4.2,10.11,7.7,57.51
8.57,7.02,6.63,57.66
8.61,6.69,7.1,72.7
7.11,11.42,4.57,50.19
6.44,1.45,9.47,85.63
6.27,6.15,5.06,38.11
5.94,8.62,1.66,35.19
3.62,9.67,6.97,52.0
7.59,0.51,1.72,56.63
7.04,8.35,3.57,37.25
3.11,11.49,2.67,20.7
4.42,8.9,5.62,50.84
6.05,5.32,3.8,35.56
9.31,10.57,2.02,45.12
9.93,10.6,8.01,61.21
8.26,8.41,4.95,41.55
8.25,8.16,4.82,57.97
5.91,4.46,8.92,64.39
7.0,3.29,5.62,61.1
4.63,7.74,7.24,58.42
8.17,0.59,3.62,66.03
3.42,10.19,5.83,55.8
5.92,10.88,7.4,48.67
8.82,2.39,3.32,60.65
9.86,7.08,7.04,66.55
7.88,2.55,5.9,61.76
4.38,6.19,4.62,40.03
7.0,7.84,7.27,48.8
6.92,4.99,3.51,34.39
9.76,10.79,7.29,66.19
8.88,10.75,5.74,47.38
3.34,6.6,2.83,28.95
4.54,7.18,6.85,60.92
8.89,0.53,8.91,69.7
9.81,4.39,3.45,46.51
5.06,9.25,8.22,60.43
7.84,11.93,3.69,27.54
5.15,11.37,8.3,39.71
3.29,1.59,0.99,41.08
8.81,5.3,0.57,29.75
8.17,1.13,1.58,50.79
3.37,10.13,8.8,53.39
4.02,8.9,5.57,49.52
10.0,11.1,6.14,73.1
7.56,6.27,8.5,77.37
8.6,1.69,0.98,43.94
5.72,7.22,4.18,46.72
6.63,10.47,6.61,56.77
7.34,1.08,4.34,66.0
8.64,9.87,0.81,25.92
5.37,7.67,6.68,54.66
7.71,2.02,4.22,60.57
8.43,8.08,0.68,45.32
8.64,1.21,2.12,36.95
6.49,2.51,2.57,42.36
6.31,1.17,5.35,56.73
3.73,7.22,2.27,25.2
6.48,3.81,3.93,37.23
7.91,3.82,7.63,71.06
9.44,7.93,8.17,60.63
3.88,1.76,8.06,60.58
9.78,7.78,7.1,68.74
4.64,8.53,5.65,39.01
4.23,10.36,5.73,39.82
3.8,8.22,9.56,58.61
9.93,8.01,8.84,64.01
6.93,8.05,6.67,51.17
4.89,0.97,4.95,48.98
5.22,5.58,7.43,59.8
9.65,6.84,1.1,54.98
9.3,8.15,9.47,67.25
5.45,3.85,5.7,56.14
3.45,8.3,5.28,40.67
8.83,5.05,3.26,41.05
9.4,8.73,0.53,42.0
8.86,2.63,1.08,55.64
9.39,4.0,3.0,41.3
7.03,11.42,5.64,37.32
8.88,9.22,1.29,40.37
9.61,10.83,9.73,74.18
9.23,2.8,4.4,50.65
7.11,11.34,3.51,32.26
8.23,9.06,5.49,50.87
8.05,7.29,1.12,35.14
8.62,0.65,8.58,77.54
4.6,1.1,4.87,43.15
3.02,9.38,2.19,24.22
6.57,8.19,2.04,35.64
8.36,2.96,3.93,55.54
3.88,5.57,5.95,38.12
6.73,8.04,4.46,39.57
5.2,0.68,6.17,67.32
8.87,8.29,7.2,64.89
3.7,5.12,7.61,39.48
8.94,1.59,4.31,45.52
7.28,2.38,7.31,58.84
9.44,5.41,1.84,55.83
9.55,7.7,5.37,48.7
8.66,4.46,1.19,40.15
6.71,1.77,2.82,56.42
4.0,10.0,6.04,33.2
4.58,6.25,7.53,71.01
5.92,3.75,1.41,36.36
8.1,8.36,2.47,27.56
6.81,4.37,9.92,61.01
6.07,4.66,3.71,42.89
6.34,3.69,3.2,55.48
8.19,4.65,1.31,30.86
3.24,3.52,7.1,61.4
6.1,11.8,5.33,35.07
7.01,3.46,2.0,39.24
7.12,7.94,6.51,40.33
7.33,2.71,5.49,62.19
3.37,6.9,5.87,31.79
6.91,6.35,9.95,65.36
6.85,6.87,0.77,22.0
8.98,4.6,9.19,73.91
8.32,10.51,8.5,55.7
3.22,3.93,4.45,42.12
6.89,10.52,8.87,62.03
7.84,5.17,6.66,56.85
7.06,8.0,8.95,75.25
7.73,0.62,6.15,54.76
3.82,5.57,2.55,45.34
4.18,7.97,5.97,49.83
7.08,3.92,2.2,38.66
8.6,4.2,1.84,39.46
3.18,5.07,6.71,48.6
6.05,3.59,9.5,75.44
9.94,7.44,6.09,71.84
8.36,1.07,8.06,73.66
6.15,10.06,2.1,39.0
3.69,11.54,6.71,47.87
5.51,2.4,7.46,51.93
4.08,3.09,0.9,25.93
9.45,11.41,1.42,19.2
7.8,2.39,7.93,72.22
8.99,1.72,4.68,79.76
9.28,9.62,4.35,36.84
7.25,8.29,9.24,73.21
3.05,8.32,9.92,72.02
6.89,3.11,7.76,82.29
8.62,4.82,8.03,71.1
5.2,2.33,2.48,43.32
9.49,2.36,2.33,57.72
9.98,6.2,9.82,78.39
6.84,8.24,7.1,45.89
6.72,4.19,7.02,55.02
7.59,5.97,3.22,46.4
6.96,4.51,8.92,84.0
4.12,11.02,0.92,23.13
4.9,8.59,3.11,43.44
4.41,7.69,2.21,19.12
3.5,8.9,7.26,62.16
3.98,3.58,7.3,62.86
9.81,11.19,5.58,70.47
6.88,2.79,0.55,35.42
3.88,2.09,8.8,77.15
7.99,10.92,9.58,56.59
6.34,3.49,2.42,40.36
4.57,10.26,8.5,56.35
9.6,3.92,9.75,74.31
4.57,3.89,3.61,51.59
3.68,11.51,2.26,29.77
4.44,11.6,9.79,59.07
9.38,11.56,1.07,31.82
9.0,2.08,3.12,39.23
9.26,7.07,7.55,64.85
9.41,0.92,6.36,62.74
3.54,8.39,7.0,42.6
7.98,8.22,7.23,53.77
7.65,11.91,7.02,53.64
9.95,10.59,3.75,52.14
8.0,3.01,3.46,42.13
8.54,5.6,4.57,57.62
8.0,3.46,8.17,70.17
7.34,1.05,9.41,63.98
6.87,4.9,4.82,44.85
9.78,1.74,1.31,65.29
9.55,9.3,9.41,91.23
6.06,4.98,1.26,49.54
4.99,0.86,2.01,34.06
6.56,3.61,8.74,64.24
8.22,4.33,5.74,50.82
5.81,5.71,3.85,48.54
6.76,8.33,9.34,71.1
5.09,9.56,9.62,62.8
5.99,11.84,3.64,24.18
9.7,10.32,8.75,64.66
4.5,5.76,6.95,64.71
9.92,1.71,3.11,65.16
4.51,8.14,9.44,59.77
5.23,5.36,1.1,45.94
3.61,5.16,3.52,26.82
8.26,4.38,4.26,41.81
3.12,2.44,7.06,66.66
8.51,1.52,0.87,45.94
7.04,9.92,8.95,47.41
8.24,2.63,6.76,65.19
8.48,8.55,3.11,43.88
3.87,8.86,6.75,52.64
3.15,4.03,5.6,40.65
4.18,6.9,3.69,42.42
5.69,8.68,0.77,16.83
3.51,2.05,5.74,47.52
6.2,2.45,1.28,26.67
5.0,8.75,8.2,66.79
5.55,3.72,1.34,33.12
9.58,1.73,4.57,63.81
8.07,6.48,4.63,54.45
7.61,9.77,5.78,38.5
7.57,4.02,0.88,28.62
6.89,3.5,2.44,43.53
6.59,2.89,2.4,50.45
9.18,5.98,6.19,70.04
3.53,7.09,3.0,27.04
5.02,2.05,1.87,26.0
3.73,9.72,0.67,1.91
3.08,6.6,8.49,65.44
3.1,6.97,9.73,62.98
3.17,1.85,7.18,47.53
7.77,7.67,4.42,66.67
3.78,8.3,1.66,25.94
4.42,5.14,5.01,42.62
5.93,7.39,4.84,34.04
4.88,3.18,4.49,48.35
8.72,7.85,4.09,58.6
7.36,6.63,5.22,53.06
5.33,7.2,1.2,27.34
5.22,3.39,0.86,22.1
7.79,9.57,1.11,23.73
4.19,10.0,2.4,20.65
4.96,1.7,3.14,55.96
5.47,10.48,2.11,30.35
6.18,9.42,2.89,24.19
4.33,6.86,2.27,24.85
4.1,1.13,1.93,27.49
9.93,6.52,3.28,56.12
9.39,5.89,4.28,59.3
6.67,3.07,7.57,68.1
8.36,10.09,9.58,72.24
7.72,4.19,9.23,83.46
3.53,7.17,5.02,38.63
6.63,5.68,4.88,58.24
4.29,10.6,1.69,17.24
7.09,6.26,9.73,56.59
3.43,3.7,7.72,66.94
4.14,8.8,8.55,52.94
8.47,9.33,2.72,32.54
8.9,11.25,4.31,53.88
9.35,9.08,1.48,29.52
9.28,1.07,9.44,79.66
9.35,10.03,3.22,40.31
3.66,6.05,6.16,43.72
7.62,2.18,1.95,42.66
7.91,11.75,8.13,52.62
4.88,7.98,2.27,34.18
9.95,10.76,8.19,69.15
5.0,2.54,4.32,43.5
7.02,9.43,5.99,55.83
9.11,7.36,3.06,48.16
5.02,4.94,8.89,71.71
7.25,2.96,7.72,71.39
8.04,4.42,3.87,41.79
7.39,6.64,6.06,52.56
5.84,8.93,1.73,17.07
9.61,5.51,2.02,41.9
7.29,5.01,5.57,65.78
4.57,0.6,6.59,58.03
8.64,11.42,5.8,48.06
7.59,9.36,5.81,65.96
3.77,11.95,7.55,29.91
4.95,11.08,9.07,49.49
4.11,10.42,4.18,38.71
3.51,1.17,5.6,61.07
4.61,7.58,8.98,71.35
4.95,3.09,4.91,49.81
6.27,10.64,4.73,33.82
9.78,9.93,7.78,76.26
9.6,2.46,8.83,76.77
8.28,9.54,7.51,68.82
7.53,11.85,1.45,22.66
9.63,4.61,4.92,67.42
4.0,4.7,2.51,31.54
5.31,0.79,3.51,56.02
6.87,8.86,4.95,41.93
8.7,10.01,2.6,29.02
7.37,1.04,5.4,64.99
8.66,11.37,6.61,52.68
4.07,1.34,8.81,72.32
4.35,7.04,2.51,24.24
8.18,11.16,3.45,40.61
5.44,11.18,4.36,35.42
6.05,2.03,2.63,44.3
8.54,11.67,3.65,41.0
3.49,3.61,8.89,49.67
4.18,4.43,1.82,43.14
5.07,8.26,4.72,31.5
9.18,1.79,3.45,74.74
5.83,6.64,1.23,26.16
4.76,9.88,1.41,20.97
7.75,6.21,7.96,61.76
3.21,1.2,8.6,62.2
8.43,9.76,7.54,55.89
7.89,3.26,5.62,77.76
3.39,9.76,7.84,56.03
6.49,11.29,1.94,20.07
5.83,9.18,7.91,46.38
4.11,0.88,4.52,57.64
4.08,8.08,7.63,42.92
4.12,3.63,2.66,26.56
7.2,2.79,8.41,65.03
4.2,9.25,5.9,51.93
3.42,3.83,0.57,17.81
9.7,2.15,5.43,61.24
3.27,2.47,3.45,42.69
7.65,8.29,1.05,39.91
9.55,5.76,4.75,60.59
3.27,2.9,3.46,47.78
9.76,1.42,2.44,47.42
6.52,11.28,3.82,24.71
8.5,11.97,2.21,27.71
7.38,5.03,3.35,34.69
7.32,3.36,1.6,47.26
8.52,0.98,1.3,33.81
3.46,4.03,9.15,62.44
5.75,7.2,9.08,63.72
9.79,6.53,8.37,69.53
3.38,5.23,2.69,21.63
4.84,4.66,7.4,55.98
7.7,11.75,6.1,60.71
3.7,6.25,0.99,23.45
6.76,0.6,9.05,77.31
7.99,8.54,9.98,63.82
8.3,7.21,7.23,68.99
6.93,2.32,2.7,33.38
6.5,8.65,5.77,42.64
8.0,0.73,1.54,54.13
4.02,8.84,3.34,15.63
7.76,2.22,7.31,69.01
9.43,11.82,3.36,35.76
7.78,6.38,1.9,50.17
3.33,0.62,0.57,29.08
6.54,10.14,5.94,52.87
8.08,9.99,9.7,66.02
3.3,9.28,5.1,25.35
8.34,6.69,2.52,26.34
4.97,3.01,4.9,63.4
7.12,7.86,6.22,56.46
9.76,10.25,8.11,79.28
9.96,6.17,4.8,53.38
7.44,1.27,2.14,34.34
6.44,11.72,2.29,42.14
4.24,8.28,9.05,57.81
4.46,11.79,2.74,42.51
6.0,2.65,7.42,72.94
7.92,2.84,3.06,36.56
8.39,1.66,7.35,83.16
4.55,2.92,1.24,40.48
6.75,1.75,2.47,49.49
7.14,3.64,4.38,63.33
9.25,7.17,5.4,52.36
9.13,9.93,3.85,38.49
8.72,1.61,5.95,73.68
6.62,2.31,3.59,34.9
3.46,3.83,6.95,65.13
5.34,4.45,5.36,61.54
7.35,10.73,7.2,55.45
7.46,3.11,4.59,60.7
8.94,1.97,8.83,87.68
5.66,10.55,4.13,28.35
9.56,10.65,3.43,48.12
4.14,9.53,5.79,35.46
3.35,4.89,5.34,37.37
4.24,11.0,5.42,35.39
6.24,5.55,8.06,62.43
8.76,9.6,6.09,48.36
4.08,5.5,8.91,68.52
6.84,6.04,6.38,56.56
8.44,10.39,0.71,35.33
3.24,0.51,8.77,73.95
